customer_state,order_count,unique_customers,total_revenue,avg_order_value,revenue_share_pct
SP,40501,39156,5067633.16,109.1,37.28
RJ,12350,11917,1759651.13,124.42,12.95
MG,11354,11001,1552481.83,120.2,11.42
RS,5345,5168,728897.47,118.83,5.36
PR,4923,4769,666063.51,117.91,4.9
SC,3546,3449,507012.13,123.75,3.73
BA,3256,3158,493584.14,134.02,3.63
DF,2080,2019,296498.41,125.9,2.18
GO,1957,1895,282836.7,124.21,2.08
ES,1995,1928,268643.45,120.74,1.98
PE,1593,1551,251889.49,144.27,1.85
CE,1279,1258,219757.38,154.11,1.62
PA,946,922,174470.59,165.53,1.28
MT,886,856,152191.62,146.76,1.12
MA,717,700,117009.38,146.26,0.86
MS,701,681,115429.97,142.33,0.85
PB,517,504,112586.82,192.13,0.83
PI,476,464,84721.0,161.99,0.62
RN,474,464,82105.66,157.59,0.6
AL,397,387,78855.72,184.67,0.58
SE,335,329,56574.19,150.86,0.42
TO,274,267,48402.51,156.14,0.36
RO,243,231,45682.76,167.34,0.34
AM,145,140,22155.84,135.93,0.16
AC,80,76,15930.97,175.07,0.12
AP,67,66,13374.81,165.12,0.1
RR,41,40,7057.47,153.42,0.05
