category,review_count,avg_score,positive_reviews,negative_reviews,satisfaction_rate
books_imported,50,4.51,50,5,87.7
books_general_interest,492,4.51,477,36,89.5
small_appliances_home_oven_and_coffee,72,4.44,64,5,87.7
costruction_tools_tools,94,4.44,90,8,90.9
books_technical,257,4.39,227,27,86.0
food_drink,221,4.37,224,18,82.7
luggage_accessories,1015,4.35,909,93,84.7
cine_photo,64,4.3,57,9,80.3
fashion_shoes,234,4.29,210,28,82.0
food,437,4.26,404,57,83.0
furniture_bedroom,90,4.25,85,13,82.5
stationery,2251,4.24,2017,287,82.0
small_appliances,608,4.23,539,80,82.0
home_appliances,730,4.23,641,84,81.2
pet_shop,1679,4.22,1543,231,80.5
perfumery,3083,4.22,2685,439,80.3
musical_instruments,606,4.22,526,77,81.4
computers,174,4.22,162,23,82.7
toys,3777,4.21,3211,488,80.1
health_beauty,8600,4.19,7542,1178,79.8
