order_year_month,order_count,revenue,freight_revenue,unique_customers,avg_order_value
2016-09,1,134.97,8.49,1,44.99
2016-10,265,40325.11,6165.55,265,128.83
2016-12,1,10.9,8.72,1,10.9
2017-01,750,111798.36,15684.01,750,122.45
2017-02,1653,234223.4,37015.92,1653,126.06
2017-03,2546,359198.85,55132.1,2546,123.99
2017-04,2303,340669.68,50142.72,2303,132.61
2017-05,3546,489338.25,77513.15,3546,122.21
2017-06,3135,421923.37,68127.0,3135,120.93
2017-07,3872,481604.52,84694.56,3872,109.06
2017-08,4193,554699.7,91132.66,4193,115.63
2017-09,4150,607399.67,93677.82,4150,128.22
2017-10,4478,648247.65,102869.36,4478,124.33
2017-11,7289,987765.37,165598.83,7289,116.55
2017-12,5513,726033.19,117045.1,5513,117.35
2018-01,7069,924645.0,153242.46,7069,115.05
2018-02,6555,826437.13,139731.28,6555,109.93
2018-03,7003,953356.25,167241.99,7003,118.92
2018-04,6798,973534.09,159344.84,6798,124.38
2018-05,6749,977544.69,151229.83,6749,125.17
2018-06,6099,856077.86,155900.43,6099,122.12
2018-07,6159,867953.46,159853.82,6159,124.65
2018-08,6351,838576.64,146915.0,6351,117.41
