customer_state,order_count,avg_delivery_days,avg_delay_days,on_time_pct
SP,40494,8.8,-10.4,94.1
MG,11354,12.0,-12.5,94.4
PR,4923,12.0,-12.6,95.0
DF,2080,13.0,-11.3,92.9
SC,3546,15.0,-10.8,90.2
RJ,12350,15.3,-11.1,86.5
RS,5344,15.3,-13.2,92.9
GO,1957,15.6,-11.5,91.8
MS,701,15.6,-10.4,88.4
ES,1995,15.8,-9.8,87.8
TO,274,17.7,-11.4,87.2
MT,886,18.1,-13.7,93.2
PE,1593,18.4,-12.6,89.2
BA,3256,19.3,-10.1,86.0
RN,474,19.3,-13.0,89.2
RO,243,19.4,-19.4,97.1
PI,476,19.5,-10.6,84.0
PB,517,20.4,-12.6,89.0
AC,80,21.0,-20.1,96.3
CE,1279,21.3,-10.1,84.7
SE,335,21.5,-9.3,84.8
MA,717,21.6,-8.9,80.3
PA,946,23.8,-13.4,87.6
AL,397,24.5,-8.0,76.1
AM,145,26.4,-18.9,95.9
AP,67,27.2,-19.1,95.5
RR,41,29.4,-16.6,87.8
