seller_id,seller_city,seller_state,orders_fulfilled,total_revenue,avg_item_price,unique_products,avg_review_score
4869f7a5dfa277a7dca6462dcf3b52b2,guariba,SP,1124,226987.93,197.72,94,4.14
53243585a1d6dc2643021fd1853d8905,lauro de freitas,BA,348,217940.44,544.85,23,4.13
4a3ca9315b744ce9f8e9374361493884,ibitinga,SP,1772,199408.32,101.17,394,3.83
fa1c13f2614d7b5c4749cbc52fecda94,sumare,SP,578,190917.14,329.74,284,4.37
7c67e1448b00f6e969d365cea6b010ab,itaquaquecetuba,SP,973,188063.83,137.67,197,3.35
7e93a43ef30c4f03f38b393420bc753a,barueri,SP,319,165981.49,515.47,175,4.36
da8622b14eb17ae2831f4ac5b9dab84a,piracicaba,SP,1311,162303.67,103.31,221,4.08
7a67c85e85bb2ce8582c35f2203ad736,sao paulo,SP,1145,140238.65,121.0,146,4.27
1025f0e2d44d7041d6cf58b6550e0bfa,sao paulo,SP,910,139720.16,97.43,153,3.87
955fee9216a65b617aa5c0531780ce60,sao paulo,SP,1261,131906.71,89.49,103,4.09
46dc3b2cc0980fb8ec44634e21d2718e,rio de janeiro,RJ,503,122811.38,234.82,183,4.26
6560211a19b47992c3666cc44a7e94c0,sao paulo,SP,1819,120983.82,60.43,254,3.95
620c87c171fb2a6dd6e8bb4dec959fc6,petropolis,RJ,722,112970.9,144.1,124,4.27
7d13fca15225358621be4086e1eb0964,ribeirao preto,SP,558,112436.18,196.91,57,4.02
5dceca129747e92ff8ef7a997dc4f8ca,santa barbara d´oeste,SP,322,111126.73,323.98,47,4.02
